Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
107,Hamidou Diallo\diallha01,SG,20,OKC,6,79,16.1,0.547,0.143,0.25,9.7,9.4,9.6,5.7,2.9,3.1,8.8,17,,0.1,0.1,0.2,0.141,,-1.2,2.4,1.2,0.1
108,Gorgui Dieng\dienggo01,C,29,MIN,8,119,19.8,0.627,0.186,0.465,8.8,26.4,17.6,8.8,2,2,14.8,20.9,,0.3,0.1,0.4,0.145,,0.5,-0.6,-0.1,0.1
109,Spencer Dinwiddie\dinwisp01,PG,25,BRK,8,220,15.4,0.626,0.523,0.182,2,7.4,4.8,21.2,0.7,1.3,15.9,22.1,,0.4,0,0.4,0.087,,1.8,-2.1,-0.3,0.1
110,Donte DiVincenzo\divindo01,SG,22,MIL,8,165,11.9,0.591,0.608,0.216,2.7,15.2,9.7,10.4,0.6,1,13.9,16.1,,0.2,0.3,0.5,0.134,,0.3,1.3,1.6,0.2
111,Luka Doncic\doncilu01,PF,19,DAL,8,278,15,0.58,0.458,0.292,3.1,18.1,10.2,19.6,1.2,0.9,19.1,24.9,,0.1,0.2,0.2,0.038,,0,-1.2,-1.2,0.1
112,Tyler Dorsey\dorsety01,SG,22,ATL,5,52,9.9,0.485,0.304,0.174,0,9.9,4.9,9.2,0.9,0,0,19.3,,0,0,0,0.018,,-4.5,-4,-8.6,-0.1
113,Damyean Dotson\dotsoda01,SG,24,NYK,6,178,14.9,0.566,0.544,0.059,3.5,18.7,10.6,4.3,1.9,0.5,5.4,17.5,,0.2,0.2,0.4,0.109,,1.5,-0.8,0.8,0.1
114,Goran Dragic\dragigo01,PG,32,MIA,7,222,14.9,0.542,0.437,0.252,2.3,8.8,5.6,24.8,0.6,0.7,12.3,23.8,,0.3,0.1,0.5,0.098,,2.2,-1.2,1,0.2
115,Andre Drummond\drumman01,C,25,DET,7,226,21.4,0.519,0.07,0.281,17.9,36.3,26.7,6.3,1.3,3.7,14.7,27.8,,0.1,0.4,0.5,0.107,,-2.5,0.6,-1.9,0
116,Jared Dudley\dudleja01,PF,33,BRK,8,210,9.7,0.527,0.744,0.186,3.7,9.2,6.6,12.8,1.9,0.7,7.9,10.3,,0.3,0.1,0.4,0.085,,-0.1,0.9,0.8,0.1
117,Kris Dunn\dunnkr01,PG,24,CHI,1,30,-0.6,0.346,0.308,0,0,14.2,7.2,33.4,0,0,23.5,24.7,,-0.1,0,-0.1,-0.234,,-8.7,-4.5,-13.2,-0.1
118,Kevin Durant\duranke01,PF,30,GSW,9,318,27.1,0.651,0.224,0.294,0.8,20.3,11.3,26.6,1.3,1.7,10.7,28.5,,1.3,0.4,1.7,0.254,,5.2,-0.3,4.9,0.6
119,Henry Ellenson\ellenhe01,PF,22,DET,1,8,25.2,0.595,0.4,0.4,0,41.6,19.8,0,0,0,0,30.8,,0,0,0,0.263,,-1.7,-10.6,-12.3,0
120,Joel Embiid\embiijo01,C,24,PHI,9,310,26.1,0.578,0.222,0.402,7.8,26.5,17.2,20,0.3,5.2,8.6,32,,0.8,0.5,1.4,0.213,,3.8,1.8,5.6,0.6
121,James Ennis\ennisja01,SF,28,HOU,3,70,8.6,0.526,0.737,0,8.1,5.3,6.8,6.1,2,0,9.5,12.5,,0.1,0,0.1,0.041,,-0.6,-1.2,-1.8,0
122,Drew Eubanks\eubandr01,PF,21,SAS,2,6,21.3,0.694,0,1,0,0,0,0,0,0,0,20.7,,0,0,0,0.254,,0.3,-6.2,-5.9,0
123,Jacob Evans\evansja02,SG,21,GSW,6,38,4.7,0.286,0,0,3.2,5.4,4.4,20,1.2,0,12.5,8.9,,0,0,0,0.021,,-4.2,-2.2,-6.4,0
